Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
12,CA-2014-115812,08/11/22,08/13/22,Standard Class,CUST1012,Anjali Gupta,Consumer,India,Pune,Maharashtra,90032,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.3568
13,CA-2017-114412,07/02/23,07/12/23,Standard Class,CUST1013,Kavita Reddy,Consumer,India,Lucknow,Uttar Pradesh,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432
14,CA-2016-161389,11/14/20,11/15/20,Standard Class,CUST1014,Amit Sharma,Consumer,India,Ahmedabad,Gujarat,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922
15,US-2015-118983,09/04/21,09/10/21,Standard Class,CUST1015,Neha Mehta,Home Office,India,Mumbai,Maharashtra,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858
16,US-2015-118983,06/05/23,06/10/23,Standard Class,CUST1016,Vikram Patel,Home Office,India,Pune,Maharashtra,76106,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816
17,CA-2014-105893,07/05/24,07/09/24,Standard Class,CUST1017,Rajesh Iyer,Consumer,India,Chennai,Tamil Nadu,53711,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0.0,13.3176
18,CA-2014-167164,08/07/20,08/14/20,Second Class,CUST1018,Rahul Verma,Consumer,India,Lucknow,Uttar Pradesh,84084,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0.0,9.99
19,CA-2014-143336,09/21/23,09/24/23,Second Class,CUST1019,Priya Singh,Consumer,India,Delhi,Delhi,94109,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,0.0,2.4824
20,CA-2014-143336,09/24/20,10/04/20,Second Class,CUST1020,Rajesh Iyer,Consumer,India,Jaipur,Rajasthan,94109,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011
21,CA-2014-143336,11/23/20,11/30/20,Second Class,CUST1021,Neha Mehta,Consumer,India,Pune,Maharashtra,94109,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384
22,CA-2016-137330,08/30/24,09/05/24,Standard Class,CUST1022,Vikram Patel,Corporate,India,Lucknow,Uttar Pradesh,68025,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7,0.0,5.0596
23,CA-2016-137330,07/05/24,07/06/24,Standard Class,CUST1023,Kavita Reddy,Corporate,India,Hyderabad,Telangana,68025,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0.0,15.6884
24,US-2017-156909,12/06/20,12/09/20,Second Class,CUST1024,Sneha Kapoor,Consumer,India,Kolkata,West Bengal,19140,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196
25,CA-2015-106320,01/16/21,01/23/21,Standard Class,CUST1025,Anjali Gupta,Consumer,India,Ahmedabad,Gujarat,84057,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0.0,240.2649
26,CA-2016-121755,05/13/22,05/15/22,Second Class,CUST1026,Vikram Patel,Consumer,India,Bangalore,Karnataka,90049,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224
27,CA-2016-121755,05/29/24,06/07/24,Second Class,CUST1027,Amit Sharma,Consumer,India,Jaipur,Rajasthan,90049,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0.0,11.7741
28,US-2015-150630,10/04/21,10/13/21,Standard Class,CUST1028,Amit Sharma,Consumer,India,Bhopal,Madhya Pradesh,19140,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522
29,US-2015-150630,11/09/24,11/17/24,Standard Class,CUST1029,Arjun Nair,Consumer,India,Hyderabad,Telangana,19140,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532
30,US-2015-150630,11/21/23,11/25/23,Standard Class,CUST1030,Rajesh Iyer,Consumer,India,Chennai,Tamil Nadu,19140,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525
31,US-2015-150630,03/02/21,03/12/21,Standard Class,CUST1031,Amit Sharma,Consumer,India,Chennai,Tamil Nadu,19140,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016
32,US-2015-150630,09/01/23,09/05/23,Standard Class,CUST1032,Vikram Patel,Consumer,India,Pune,Maharashtra,19140,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092
33,US-2015-150630,06/11/20,06/18/20,Standard Class,CUST1033,Rajesh Iyer,Consumer,India,Mumbai,Maharashtra,19140,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715
34,US-2015-150630,05/24/20,05/28/20,Standard Class,CUST1034,Neha Mehta,Consumer,India,Delhi,Delhi,19140,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.546
35,CA-2017-107727,05/17/22,05/24/22,Second Class,CUST1035,Amit Sharma,Home Office,India,Hyderabad,Telangana,77095,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472,3,0.2,9.9468
36,CA-2016-117590,10/18/24,10/23/24,First Class,CUST1036,Kavita Reddy,Corporate,India,Kolkata,West Bengal,75080,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544,7,0.2,123.4737
37,CA-2016-117590,11/10/22,11/19/22,First Class,CUST1037,Rahul Verma,Corporate,India,Jaipur,Rajasthan,75080,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963
38,CA-2015-117415,07/01/22,07/04/22,Standard Class,CUST1038,Vikram Patel,Home Office,India,Kolkata,West Bengal,77041,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415
39,CA-2015-117415,03/20/20,03/28/20,Standard Class,CUST1039,Kavita Reddy,Home Office,India,Mumbai,Maharashtra,77041,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764
40,CA-2015-117415,11/21/21,11/30/21,Standard Class,CUST1040,Neha Mehta,Home Office,India,Lucknow,Uttar Pradesh,77041,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147
41,CA-2015-117415,08/27/23,09/02/23,Standard Class,CUST1041,Rahul Verma,Home Office,India,Ahmedabad,Gujarat,77041,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564
42,CA-2017-120999,01/05/22,01/07/22,Standard Class,CUST1042,Vikram Patel,Corporate,India,Pune,Maharashtra,60540,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168,4,0.2,16.5564
43,CA-2016-101343,04/22/21,04/26/21,Standard Class,CUST1043,Rajesh Iyer,Corporate,India,Jaipur,Rajasthan,90049,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0.0,3.894
44,CA-2017-139619,02/18/21,02/24/21,Standard Class,CUST1044,Arjun Nair,Corporate,India,Hyderabad,Telangana,32935,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616
45,CA-2016-118255,02/13/21,02/19/21,First Class,CUST1045,Neha Mehta,Corporate,India,Chennai,Tamil Nadu,55122,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0.0,19.7714
46,CA-2016-118255,09/10/20,09/17/20,First Class,CUST1046,Arjun Nair,Corporate,India,Bhopal,Madhya Pradesh,55122,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0.0,8.2062
47,CA-2014-146703,10/09/24,10/13/24,Second Class,CUST1047,Neha Mehta,Consumer,India,Lucknow,Uttar Pradesh,48185,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0.0,8.4784
48,CA-2016-169194,05/10/21,05/15/21,Standard Class,CUST1048,Vikram Patel,Consumer,India,Lucknow,Uttar Pradesh,19901,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.0,3,0.0,4.95
49,CA-2016-169194,04/09/23,04/10/23,Standard Class,CUST1049,Sneha Kapoor,Consumer,India,Kolkata,West Bengal,19901,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0.0,6.104
50,CA-2015-115742,04/19/21,04/28/21,Standard Class,CUST1050,Vikram Patel,Consumer,India,Mumbai,Maharashtra,47150,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0.0,17.9634
51,CA-2015-115742,01/20/21,01/24/21,Standard Class,CUST1051,Amit Sharma,Consumer,India,Lucknow,Uttar Pradesh,47150,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,6,0.0,35.3346
52,CA-2015-115742,02/27/21,03/01/21,Standard Class,CUST1052,Amit Sharma,Consumer,India,Bhopal,Madhya Pradesh,47150,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0.0,2.9568
53,CA-2015-115742,09/09/23,09/16/23,Standard Class,CUST1053,Neha Mehta,Consumer,India,Jaipur,Rajasthan,47150,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0.0,17.0981
54,CA-2016-105816,04/19/22,04/26/22,Standard Class,CUST1054,Kavita Reddy,Corporate,India,Mumbai,Maharashtra,10024,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0.0,6.2566
55,CA-2016-105816,09/09/24,09/14/24,Standard Class,CUST1055,Kavita Reddy,Corporate,India,Lucknow,Uttar Pradesh,10024,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0.0,298.6855
56,CA-2016-111682,07/10/22,07/19/22,First Class,CUST1056,Priya Singh,Consumer,India,Bangalore,Karnataka,12180,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0.0,52.14
57,CA-2016-111682,06/23/24,06/25/24,First Class,CUST1057,Kavita Reddy,Consumer,India,Kolkata,West Bengal,12180,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,5,0.0,15.552
58,CA-2016-111682,02/28/22,03/07/22,First Class,CUST1058,Priya Singh,Consumer,India,Hyderabad,Telangana,12180,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098
59,CA-2016-111682,04/12/23,04/16/23,First Class,CUST1059,Rajesh Iyer,Consumer,India,Mumbai,Maharashtra,12180,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0.0,6.9888
60,CA-2016-111682,07/21/20,07/27/20,First Class,CUST1060,Amit Sharma,Consumer,India,Pune,Maharashtra,12180,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.0,2,0.0,3.3
61,CA-2016-111682,05/14/23,05/15/23,First Class,CUST1061,Arjun Nair,Consumer,India,Chandigarh,Chandigarh,12180,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2,16.362
62,CA-2016-111682,10/20/22,10/28/22,First Class,CUST1062,Rajesh Iyer,Consumer,India,Bangalore,Karnataka,12180,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0.0,0.84
63,CA-2015-135545,08/17/24,08/27/24,Standard Class,CUST1063,Priya Singh,Consumer,India,Chennai,Tamil Nadu,90004,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0.0,6.1512
64,CA-2015-135545,03/18/23,03/23/23,Standard Class,CUST1064,Amit Sharma,Consumer,India,Pune,Maharashtra,90004,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,9.3612
65,CA-2015-135545,09/21/22,09/23/22,Standard Class,CUST1065,Rahul Verma,Consumer,India,Jaipur,Rajasthan,90004,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,3,0.0,68.9631
66,CA-2015-135545,06/09/24,06/16/24,Standard Class,CUST1066,Priya Singh,Consumer,India,Jaipur,Rajasthan,90004,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0.0,22.3328
67,US-2015-164175,03/18/21,03/21/21,Standard Class,CUST1067,Priya Singh,Home Office,India,Kolkata,West Bengal,60610,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225
68,CA-2014-106376,10/11/21,10/13/21,Standard Class,CUST1068,Priya Singh,Corporate,India,Hyderabad,Telangana,85234,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024
69,CA-2014-106376,04/22/20,04/30/20,Standard Class,CUST1069,Vikram Patel,Corporate,India,Chandigarh,Chandigarh,85234,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988
70,CA-2016-119823,12/02/24,12/09/24,First Class,CUST1070,Anjali Gupta,Consumer,India,Jaipur,Rajasthan,22153,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0.0,35.6636
71,CA-2016-106075,12/09/20,12/10/20,Standard Class,CUST1071,Priya Singh,Consumer,India,Chennai,Tamil Nadu,10009,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.731
72,CA-2017-114440,12/14/20,12/24/20,Second Class,CUST1072,Rahul Verma,Consumer,India,Bhopal,Madhya Pradesh,49201,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0.0,8.763
73,US-2015-134026,08/05/22,08/12/22,Standard Class,CUST1073,Vikram Patel,Consumer,India,Ahmedabad,Gujarat,38109,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,8,0.2,-114.3912
74,US-2015-134026,06/03/22,06/05/22,Standard Class,CUST1074,Priya Singh,Consumer,India,Chandigarh,Chandigarh,38109,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,1.213
75,US-2015-134026,09/06/23,09/07/23,Standard Class,CUST1075,Anjali Gupta,Consumer,India,Chennai,Tamil Nadu,38109,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,1,0.2,-18.196
76,US-2017-118038,06/14/21,06/16/21,First Class,CUST1076,Kavita Reddy,Corporate,India,Hyderabad,Telangana,77041,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.248,3,0.8,-1.9344
77,US-2017-118038,01/10/20,01/13/20,First Class,CUST1077,Amit Sharma,Corporate,India,Mumbai,Maharashtra,77041,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3,0.6,-5.8248
78,US-2017-118038,09/21/21,09/30/21,First Class,CUST1078,Neha Mehta,Corporate,India,Bhopal,Madhya Pradesh,77041,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.724
79,US-2014-147606,10/04/21,10/10/21,Second Class,CUST1079,Anjali Gupta,Consumer,India,Hyderabad,Telangana,77070,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.475
80,CA-2016-127208,12/16/24,12/23/24,First Class,CUST1080,Priya Singh,Corporate,India,Jaipur,Rajasthan,35601,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0.0,56.2032
81,CA-2016-127208,06/12/21,06/17/21,First Class,CUST1081,Anjali Gupta,Corporate,India,Pune,Maharashtra,35601,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,0.0,8.0352
82,CA-2014-139451,02/10/23,02/19/23,Standard Class,CUST1082,Amit Sharma,Consumer,India,Hyderabad,Telangana,94122,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0.0,4.172
83,CA-2014-139451,04/01/22,04/02/22,Standard Class,CUST1083,Amit Sharma,Consumer,India,Lucknow,Uttar Pradesh,94122,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0.0,6.2031
84,CA-2015-149734,09/28/20,10/05/20,Standard Class,CUST1084,Amit Sharma,Corporate,India,Bangalore,Karnataka,27707,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,0.2,62.8075
85,US-2017-119662,04/17/22,04/26/22,First Class,CUST1085,Anjali Gupta,Home Office,India,Pune,Maharashtra,60623,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3,0.2,-48.9549
86,CA-2017-140088,02/10/24,02/17/24,Second Class,CUST1086,Amit Sharma,Consumer,India,Mumbai,Maharashtra,29203,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0.0,33.2156
87,CA-2017-155558,04/07/21,04/14/21,Standard Class,CUST1087,Anjali Gupta,Consumer,India,Bhopal,Madhya Pradesh,55901,Central,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0.0,6.7966
88,CA-2017-155558,08/03/20,08/08/20,Standard Class,CUST1088,Priya Singh,Consumer,India,Mumbai,Maharashtra,55901,Central,OFF-LA-10000134,Office Supplies,Labels,Avery 511,6.16,2,0.0,2.9568
89,CA-2016-159695,08/16/23,08/18/23,Second Class,CUST1089,Anjali Gupta,Home Office,India,Mumbai,Maharashtra,77095,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7,0.2,13.8572
90,CA-2016-109806,07/18/23,07/21/23,Standard Class,CUST1090,Sneha Kapoor,Corporate,India,Lucknow,Uttar Pradesh,90036,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,0.0,6.633
91,CA-2016-109806,09/04/21,09/06/21,Standard Class,CUST1091,Amit Sharma,Corporate,India,Kolkata,West Bengal,90036,West,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.584,2,0.2,8.2782
92,CA-2016-109806,08/04/23,08/08/23,Standard Class,CUST1092,Sneha Kapoor,Corporate,India,Bangalore,Karnataka,90036,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48,1,0.0,3.1104
93,CA-2015-149587,09/28/21,10/02/21,Second Class,CUST1093,Rahul Verma,Consumer,India,Delhi,Delhi,55407,Central,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,12.96,2,0.0,6.2208
94,CA-2015-149587,12/15/21,12/23/21,Second Class,CUST1094,Sneha Kapoor,Consumer,India,Chennai,Tamil Nadu,55407,Central,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,0.0,16.5354
95,CA-2015-149587,12/17/20,12/21/20,Second Class,CUST1095,Anjali Gupta,Consumer,India,Mumbai,Maharashtra,55407,Central,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2,0.0,16.1504
96,US-2017-109484,08/13/21,08/17/21,Standard Class,CUST1096,Rahul Verma,Home Office,India,Lucknow,Uttar Pradesh,97206,West,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,1,0.7,-3.788
97,CA-2017-161018,11/28/22,12/07/22,Second Class,CUST1097,Kavita Reddy,Home Office,India,Kolkata,West Bengal,10009,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,0.0,40.5426
98,CA-2017-157833,11/29/22,12/06/22,First Class,CUST1098,Rajesh Iyer,Consumer,India,Hyderabad,Telangana,94122,West,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,3,0.2,17.9592
99,CA-2016-149223,08/31/20,09/08/20,Standard Class,CUST1099,Vikram Patel,Corporate,India,Mumbai,Maharashtra,55106,Central,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0.0,22.5852
100,CA-2016-158568,03/02/23,03/09/23,Standard Class,CUST1100,Sneha Kapoor,Home Office,India,Bangalore,Karnataka,60610,Central,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,7,0.2,22.6184
101,CA-2016-158568,09/01/24,09/02/24,Standard Class,CUST1101,Kavita Reddy,Home Office,India,Chandigarh,Chandigarh,60610,Central,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3,0.2,-10.7973
102,CA-2016-158568,10/13/21,10/14/21,Standard Class,CUST1102,Vikram Patel,Home Office,India,Bangalore,Karnataka,60610,Central,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,3,0.8,-3.0396
103,CA-2016-129903,11/05/21,11/13/21,Second Class,CUST1103,Neha Mehta,Consumer,India,Bhopal,Madhya Pradesh,55901,Central,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4,0.0,11.7208
104,US-2015-156867,06/25/23,06/28/23,Standard Class,CUST1104,Rahul Verma,Consumer,India,Ahmedabad,Gujarat,80013,West,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896,6,0.2,-26.8758
105,US-2015-156867,01/29/20,02/01/20,Standard Class,CUST1105,Priya Singh,Consumer,India,Pune,Maharashtra,80013,West,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,0.2,-3.8385
106,US-2015-156867,07/08/21,07/13/21,Standard Class,CUST1106,Priya Singh,Consumer,India,Chandigarh,Chandigarh,80013,West,OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,3,0.7,-25.8174
107,CA-2017-119004,10/21/22,10/31/22,Standard Class,CUST1107,Anjali Gupta,Consumer,India,Lucknow,Uttar Pradesh,28205,South,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,8,0.2,17.6016
